,INTERVAL_DATETIME,BIN_NAME,BIDVOLUME
0,2022-01-01 01:00:00,"[-2000, -100)",13124.75378
1,2022-01-01 01:00:00,"[-100, 0)",1674.56034
2,2022-01-01 01:00:00,"[0, 50)",3076.0
3,2022-01-01 01:00:00,"[50, 100)",2035.0
4,2022-01-01 01:00:00,"[100, 200)",1318.0
5,2022-01-01 01:00:00,"[200, 300)",1939.0
6,2022-01-01 01:00:00,"[300, 500)",1365.0
7,2022-01-01 01:00:00,"[500, 1000)",273.0
8,2022-01-01 01:00:00,"[1000, 5000)",210.0
9,2022-01-01 01:00:00,"[5000, 10000)",125.0
10,2022-01-01 01:00:00,"[10000, 16500)",9153.0
11,2022-01-01 02:00:00,"[-2000, -100)",12738.06333
12,2022-01-01 02:00:00,"[-100, 0)",1682.53402
13,2022-01-01 02:00:00,"[0, 50)",2516.0
14,2022-01-01 02:00:00,"[50, 100)",1920.0
15,2022-01-01 02:00:00,"[100, 200)",1333.0
16,2022-01-01 02:00:00,"[200, 300)",2030.0
17,2022-01-01 02:00:00,"[300, 500)",1366.0
18,2022-01-01 02:00:00,"[500, 1000)",306.0
19,2022-01-01 02:00:00,"[1000, 5000)",210.0
20,2022-01-01 02:00:00,"[5000, 10000)",125.0
21,2022-01-01 02:00:00,"[10000, 16500)",9405.0
22,2022-01-01 03:00:00,"[-2000, -100)",12682.58389
23,2022-01-01 03:00:00,"[-100, 0)",1608.50956
24,2022-01-01 03:00:00,"[0, 50)",2486.0
25,2022-01-01 03:00:00,"[50, 100)",1427.0
26,2022-01-01 03:00:00,"[100, 200)",1135.0
27,2022-01-01 03:00:00,"[200, 300)",2104.0
28,2022-01-01 03:00:00,"[300, 500)",1455.0
29,2022-01-01 03:00:00,"[500, 1000)",306.0
30,2022-01-01 03:00:00,"[1000, 5000)",210.0
31,2022-01-01 03:00:00,"[5000, 10000)",125.0
32,2022-01-01 03:00:00,"[10000, 16500)",9732.0
33,2022-01-01 04:00:00,"[-2000, -100)",12493.76644
34,2022-01-01 04:00:00,"[-100, 0)",1768.43801
35,2022-01-01 04:00:00,"[0, 50)",2406.0
36,2022-01-01 04:00:00,"[50, 100)",1497.0
37,2022-01-01 04:00:00,"[100, 200)",1091.0
38,2022-01-01 04:00:00,"[200, 300)",2030.0
39,2022-01-01 04:00:00,"[300, 500)",1448.0
40,2022-01-01 04:00:00,"[500, 1000)",306.0
41,2022-01-01 04:00:00,"[1000, 5000)",210.0
42,2022-01-01 04:00:00,"[5000, 10000)",125.0
43,2022-01-01 04:00:00,"[10000, 16500)",9763.0
44,2022-01-01 05:00:00,"[-2000, -100)",12527.16464
45,2022-01-01 05:00:00,"[-100, 0)",1850.80418
46,2022-01-01 05:00:00,"[0, 50)",2538.0
47,2022-01-01 05:00:00,"[50, 100)",1358.0
48,2022-01-01 05:00:00,"[100, 200)",1222.0
49,2022-01-01 05:00:00,"[200, 300)",2841.0
50,2022-01-01 05:00:00,"[300, 500)",1594.0
51,2022-01-01 05:00:00,"[500, 1000)",250.0
52,2022-01-01 05:00:00,"[1000, 5000)",231.0
53,2022-01-01 05:00:00,"[5000, 10000)",15.0
54,2022-01-01 05:00:00,"[10000, 16500)",8957.0
55,2022-01-01 06:00:00,"[-2000, -100)",12976.84283
56,2022-01-01 06:00:00,"[-100, 0)",2272.14913
57,2022-01-01 06:00:00,"[0, 50)",2131.49661
58,2022-01-01 06:00:00,"[50, 100)",1632.0
59,2022-01-01 06:00:00,"[100, 200)",1548.0
60,2022-01-01 06:00:00,"[200, 300)",2896.0
61,2022-01-01 06:00:00,"[300, 500)",1652.0
62,2022-01-01 06:00:00,"[500, 1000)",250.0
63,2022-01-01 06:00:00,"[1000, 5000)",231.0
64,2022-01-01 06:00:00,"[5000, 10000)",15.0
65,2022-01-01 06:00:00,"[10000, 16500)",8527.0
66,2022-01-01 07:00:00,"[-2000, -100)",14502.10519
67,2022-01-01 07:00:00,"[-100, 0)",1998.475
68,2022-01-01 07:00:00,"[0, 50)",1791.815
69,2022-01-01 07:00:00,"[50, 100)",1432.0
70,2022-01-01 07:00:00,"[100, 200)",1432.0
71,2022-01-01 07:00:00,"[200, 300)",3154.0
72,2022-01-01 07:00:00,"[300, 500)",1925.0
73,2022-01-01 07:00:00,"[500, 1000)",250.0
74,2022-01-01 07:00:00,"[1000, 5000)",231.0
75,2022-01-01 07:00:00,"[5000, 10000)",15.0
76,2022-01-01 07:00:00,"[10000, 16500)",9863.0
77,2022-01-01 08:00:00,"[-2000, -100)",14245.97534
78,2022-01-01 08:00:00,"[-100, 0)",2259.48169
